iter	Logloss
0	0.5429761184
1	0.4787544235
2	0.4527288241
3	0.4328408807
4	0.4122941384
5	0.4029874437
6	0.398603044
7	0.393230231
8	0.3839727513
9	0.3764499841
10	0.3675332021
11	0.3577188227
12	0.3434772453
13	0.336364347
14	0.3313819993
15	0.3284526188
16	0.3257323789
17	0.3236104862
18	0.3160277583
19	0.3112920074
20	0.3049283555
21	0.3027348662
22	0.296791921
23	0.2904246156
24	0.2816878689
25	0.2798930423
26	0.2761254723
27	0.2696057018
28	0.2649523238
29	0.2625841106
30	0.2609601395
31	0.2580100353
32	0.2547265404
33	0.2532078304
34	0.2506026147
35	0.246661641
36	0.2449324702
37	0.2427621454
38	0.2396741902
39	0.2388864283
40	0.2373220494
41	0.2348816409
42	0.232077493
43	0.2305949804
44	0.2259413414
45	0.2225276863
46	0.2199065671
47	0.2183961926
48	0.2170951275
49	0.2160565781
50	0.2147719078
51	0.2129088926
52	0.2107873529
53	0.2099679222
54	0.2063574071
55	0.2053536889
56	0.2026340477
57	0.2009001795
58	0.1991650986
59	0.1979863802
60	0.1951923178
61	0.1922273233
62	0.1915058006
63	0.1910471005
64	0.1902063166
65	0.1879164391
66	0.1865115559
67	0.1835214166
68	0.1817817304
69	0.1787202708
70	0.1781778163
71	0.1768071196
72	0.1758648356
73	0.1753119118
