iter	Passed	Remaining
0	0	64
1	1	50
2	1	45
3	2	43
4	3	41
5	3	40
6	4	38
7	4	37
8	5	36
9	5	36
10	6	35
11	6	34
12	7	34
13	7	33
14	8	32
15	8	31
16	9	31
17	10	30
18	10	30
19	11	29
20	11	28
21	12	28
22	12	27
23	13	27
24	13	26
25	14	25
26	14	25
27	15	24
28	15	24
29	16	23
30	17	23
31	17	22
32	18	21
33	18	21
34	19	20
35	19	20
36	20	19
37	20	19
38	21	18
39	21	18
40	22	17
41	22	16
42	23	16
43	23	15
44	24	15
45	25	14
46	25	14
47	26	13
48	26	13
49	27	12
50	27	11
51	28	11
52	28	10
53	29	10
54	29	9
55	30	9
56	31	8
57	31	8
58	32	7
59	32	7
60	33	6
61	33	5
62	34	5
63	34	4
64	35	4
65	35	3
66	36	3
67	36	2
68	37	2
69	37	1
70	38	1
71	38	0
72	39	0
